creator_id,creator_display_name,creator_role,creator_handle_to_verify,opt_in_status,category_slug,category_label,rank_position,rank_status_raw,place_id,canonical_place_name,original_place_name_from_upload,neighborhood_or_area_hint,creator_feedback_summary,place_detail_summary_from_upload,taste_tags,recommendation_attributes,source_type,source_file,verification_status,publish_disclaimer
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,pizza,Pizza,,Personal Favorite,seattle-ak-pizza,AK Pizza,A.K. Pizza,Othello,Exceptional crust and fermentation. Potato slice is unreal. Consistently excellent.,New York-inspired with chef execution. Located near Othello station. Focuses on high-quality ingredients and long fermentation.,consistent|crust|long-fermentation|neighborhood-othello|ny-style|pizza|slice,consistent|crust|long-fermentation|neighborhood-othello|ny-style|slice,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,pizza,Pizza,1,#1 Slice,seattle-post-alley-pizza,Post Alley Pizza,Post Alley Pizza,Seattle,Nicest slice in Seattle. Perfect balance of crunch and airiness. Better than East Coast.,PNW Pizzeria serving 18 inch pies and slices. 1123 Post Ave. Family owned and operated.,crunchy|pizza|slice,crunchy|slice,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,pizza,Pizza,,Top Favorite,seattle-slice-box-pizza,Slice Box Pizza,Slice Box Pizza,SoDo,"Most New York vibe. Best single slice in the city. Crisp bottom, light structure.","Located in SoDo. New York-inspired slice shop. Known for its no-frills, authentic atmosphere. Limited hours.",crispy|neighborhood-sodo|ny-style|pizza|slice,crispy|neighborhood-sodo|ny-style|slice,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,pizza,Pizza,,Iconic Classic,seattle-hot-mama-s-pizza,Hot Mama's Pizza,Hot Mama's Pizza,Capitol Hill,Formerly #1. Pesto pizza is a must. Airy and crisp crust. Like the Dick's of pizza.,"Capitol Hill institution. Known for their pesto and specialty slices. Pesto slice ~$10, Pepperoni ~$8.50.",crispy|crust|hype-worthy|local-institution|neighborhood-capitol-hill|pizza|slice,crispy|crust|hype-worthy|local-institution|neighborhood-capitol-hill|slice,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,pizza,Pizza,,Top Must-Visit,seattle-windy-city-pie,Windy City Pie,Windy City Pie,Phinney Ridge,Cracker-thin tavern style. Perfect char and addictive zingy sauce.,"Chicago tavern-style pizza. Located in Phinney Ridge. Known for its unique sauce and thin, crispy crust.",chicago-style|crispy|crust|distinctive|neighborhood-phinney-ridge|pizza|tavern-style,chicago-style|crispy|crust|distinctive|neighborhood-phinney-ridge|tavern-style,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,tacos,Tacos,,Sets the Bar,seattle-carnitas-michoacan,Carnitas Michoacan,Carnitas Michoacan,Seattle,"Sets the bar for the best tacos in Seattle. Rich flavors, consistent, traditional.","2500 Beacon Ave S. Authentic Mexican recipes from Michoacan. Tacos ~$3.69+, Tortas ~$11.99.",consistent|distinctive|michoacan|tacos,consistent|distinctive|michoacan,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,tacos,Tacos,,Popular Favorite,seattle-carmelo-s-tacos,Carmelo's Tacos,Carmelos Tacos,Capitol Hill,"Vibrant flavors, late-night energy. Al pastor is a fan favorite.",Capitol Hill (inside convenience store). Known for authentic street-style tacos and budget-friendly prices.,al-pastor|budget-friendly|hidden-gem|late-night|neighborhood-capitol-hill|tacos,al-pastor|budget-friendly|hidden-gem|late-night|neighborhood-capitol-hill,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,donuts,Donuts,1,#1 Favorite,seattle-temple-pastry,Temple Pastry,Temple Pastry,Central District,"Chocolate Cronut is the best donut he's had. Flaky, buttery, fresh.",Central District. Fermentation and butter focused pastry shop with a chef-driven approach.,buttery|cronut|donuts|flaky|long-fermentation|neighborhood-central-district|pastry,buttery|cronut|flaky|long-fermentation|neighborhood-central-district|pastry,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,donuts,Donuts,,Market Staple,seattle-daily-dozen-donuts,Daily Dozen Donuts,Daily Dozen Donuts,Pike Place Market,"Fluffy, airy, light. Get the plain ones fresh off the fryer.",Pike Place Market (since 1978). Specializes in mini donuts made fresh to order.,donuts|neighborhood-pike-place-market,neighborhood-pike-place-market,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
matthew-norman,Matthew Norman,cook / chef-creator,,not_verified_user_uploaded_data,fried-chicken,Fried Chicken,,Top Favorite,seattle-cookie-s-country-chicken,Cookie's Country Chicken,Cookie’s Country Chicken,Pioneer Square,"Massive, juicy, perfectly crunchy. Cayenne + hot honey.",Pioneer Square. Focused on high-quality fried chicken sandwiches and tenders.,chicken|crunchy|fried-chicken|hot-honey|juicy|large-portions|neighborhood-pioneer-square,chicken|crunchy|hot-honey|juicy|large-portions|neighborhood-pioneer-square,user_uploaded_csv,Seattle_Best_Food_Matt_vs_Nick (1).csv,needs_creator_source_and_places_verification,Display as curated/imported ranking until creator opt-in and public source links are verified. Do not imply endorsement.
