creator_slug,creator_display_name,category_slug,original_category,rank_status,place_slug,place_name,source_feedback_summary,seed_details,attribution_status,recommended_use
matthew-norman,Matthew Norman,pizza,Pizza,Personal Favorite,a-k-pizza,A.K. Pizza,Exceptional crust and fermentation. Potato slice is unreal. Consistently excellent.,New York-inspired with chef execution. Located near Othello station. Focuses on high-quality ingredients and long fermentation.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
matthew-norman,Matthew Norman,pizza,Pizza,#1 Slice,post-alley-pizza,Post Alley Pizza,Nicest slice in Seattle. Perfect balance of crunch and airiness. Better than East Coast.,PNW Pizzeria serving 18 inch pies and slices. 1123 Post Ave. Family owned and operated.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
matthew-norman,Matthew Norman,pizza,Pizza,Top Favorite,slice-box-pizza,Slice Box Pizza,"Most New York vibe. Best single slice in the city. Crisp bottom, light structure.","Located in SoDo. New York-inspired slice shop. Known for its no-frills, authentic atmosphere. Limited hours.",user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
matthew-norman,Matthew Norman,pizza,Pizza,Iconic Classic,hot-mama-s-pizza,Hot Mama's Pizza,Formerly #1. Pesto pizza is a must. Airy and crisp crust. Like the Dick's of pizza.,"Capitol Hill institution. Known for their pesto and specialty slices. Pesto slice ~$10, Pepperoni ~$8.50.",user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
matthew-norman,Matthew Norman,pizza,Pizza,Top Must-Visit,windy-city-pie,Windy City Pie,Cracker-thin tavern style. Perfect char and addictive zingy sauce.,"Chicago tavern-style pizza. Located in Phinney Ridge. Known for its unique sauce and thin, crispy crust.",user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
matthew-norman,Matthew Norman,tacos,Tacos,Sets the Bar,carnitas-michoacan,Carnitas Michoacan,"Sets the bar for the best tacos in Seattle. Rich flavors, consistent, traditional.","2500 Beacon Ave S. Authentic Mexican recipes from Michoacan. Tacos ~$3.69+, Tortas ~$11.99.",user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
matthew-norman,Matthew Norman,tacos,Tacos,Popular Favorite,carmelo-s-tacos,Carmelo's Tacos,"Vibrant flavors, late-night energy. Al pastor is a fan favorite.",Capitol Hill (inside convenience store). Known for authentic street-style tacos and budget-friendly prices.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
matthew-norman,Matthew Norman,donuts,Donuts,#1 Favorite,temple-pastry,Temple Pastry,"Chocolate Cronut is the best donut he's had. Flaky, buttery, fresh.",Central District. Fermentation and butter focused pastry shop with a chef-driven approach.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
matthew-norman,Matthew Norman,donuts,Donuts,Market Staple,daily-dozen-donuts,Daily Dozen Donuts,"Fluffy, airy, light. Get the plain ones fresh off the fryer.",Pike Place Market (since 1978). Specializes in mini donuts made fresh to order.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
matthew-norman,Matthew Norman,fried-chicken,Chicken,Top Favorite,cookie-s-country-chicken,Cookie’s Country Chicken,"Massive, juicy, perfectly crunchy. Cayenne + hot honey.",Pioneer Square. Focused on high-quality fried chicken sandwiches and tenders.,user_provided_creator_reference_needs_opt_in_before_public_endorsement,use as seed/curated reference; do not imply official endorsement until creator opts in
